"","Date","Open","High","Low","Close","Adj Close","Volume","difference","0"
"1",1995-03-15,1.875,2.144531,1.828125,2.109375,1.392914,92646400,0,0
"2",1995-03-16,2.320313,2.390625,2.226563,2.320313,1.532205,22867200,0.139291,0
"3",1995-03-17,2.332031,2.332031,2.226563,2.238281,1.478037,17163700,-0.054168,0
"4",1995-03-20,2.226563,2.238281,2.179688,2.226563,1.470298,7141300,-0.00773899999999994,0
"5",1995-03-21,2.226563,2.355469,2.203125,2.332031,1.539944,8198400,0.0696459999999999,0
"6",1995-03-22,2.34375,2.789063,2.34375,2.613281,1.725666,18216500,0.185722,0
"7",1995-03-23,2.589844,2.660156,2.542969,2.554688,1.686974,8507700,-0.0386919999999999,0
"8",1995-03-24,2.578125,2.589844,2.519531,2.566406,1.694712,2049000,0.00773800000000002,0
"9",1995-03-27,2.554688,2.601563,2.519531,2.601563,1.717927,2526900,0.023215,0
"10",1995-03-28,2.613281,2.789063,2.601563,2.683594,1.772096,13986100,0.0541689999999999,0
"11",1995-03-29,2.71875,2.777344,2.648438,2.695313,1.779834,5116800,0.00773800000000002,0
"12",1995-03-30,2.671875,2.671875,2.472656,2.542969,1.679235,3025000,-0.100599,0
"13",1995-03-31,2.507813,2.636719,2.472656,2.636719,1.741143,4603700,0.0619080000000001,0
"14",1995-04-03,2.625,2.625,2.542969,2.578125,1.702451,3210600,-0.0386920000000002,0
"15",1995-04-04,2.566406,2.578125,2.402344,2.425781,1.601851,2643200,-0.1006,0
"16",1995-04-05,2.425781,2.425781,2.34375,2.367188,1.563159,4864000,-0.0386919999999999,0
"17",1995-04-06,2.390625,2.425781,2.367188,2.367188,1.563159,2638900,0,0
"18",1995-04-07,2.367188,2.402344,2.332031,2.367188,1.563159,1559400,0,0
"19",1995-04-10,2.367188,2.53125,2.332031,2.484375,1.640543,2995200,0.0773840000000001,0
"20",1995-04-11,2.484375,2.519531,2.460938,2.484375,1.640543,2439400,0,0
"21",1995-04-12,2.496094,2.548828,2.496094,2.53125,1.671497,4126900,0.0309539999999999,0
"22",1995-04-13,2.554688,2.554688,2.460938,2.484375,1.640543,781800,-0.0309539999999999,0
"23",1995-04-17,2.460938,2.507813,2.402344,2.402344,1.586374,1000500,-0.0541690000000001,0
"24",1995-04-18,2.402344,2.4375,2.332031,2.355469,1.555421,1351400,-0.030953,0
"25",1995-04-19,2.355469,2.378906,2.332031,2.332031,1.539944,1766400,-0.015477,0
"26",1995-04-20,2.34375,2.378906,2.332031,2.332031,1.539944,1704500,0,0
"27",1995-04-21,2.367188,2.378906,2.367188,2.378906,1.570897,652800,0.030953,0
"28",1995-04-24,2.378906,2.695313,2.378906,2.671875,1.764357,5712000,0.19346,0
"29",1995-04-25,2.636719,2.660156,2.566406,2.566406,1.694712,1277800,-0.069645,0
"30",1995-04-26,2.566406,2.683594,2.566406,2.660156,1.756619,2708200,0.0619069999999999,0
"31",1995-04-27,2.648438,2.695313,2.636719,2.671875,1.764357,2250600,0.00773800000000002,0
"32",1995-04-28,2.660156,2.660156,2.53125,2.566406,1.694712,1061300,-0.069645,0
"33",1995-05-01,2.589844,2.589844,2.542969,2.554688,1.686974,1065600,-0.00773800000000002,0
"34",1995-05-02,2.589844,2.589844,2.542969,2.566406,1.694712,354100,0.00773800000000002,0
